rid	question1	question2	is_duplicate
1	Xcode does not see iPhone device	The iPhone device is not being detected by Xcode.	1
2	How can I change UILabel in LaunchScreen dynamically	Is there a way to update the UILabel in LaunchScreen programmatically?	1
3	How to draw a path/outline around the notch/cutout on iOS like cutoutPath on Android?	On iOS, what is the process to create a path or outline around the notch or cutout similar to using cutoutPath on Android?	1
	Airtag in stolen car rephrase	Using AirTag to track a stolen vehicle.	0
	Record and add audio effects at the same time in iOS with audio unit	Is it possible to simultaneously record audio and apply audio effects using audio units in iOS?	1
	On iOS, is there any way to build an alarm clock app that plays sound longer than 30 seconds?	Can an alarm clock app that plays sound for more than 30 seconds be developed on iOS?	1
	Unable to install "Runner"	Encountering an installation error while attempting to install "Runner".	1
	Training ML Models on iOS Devices	is it possible to run KNN in apple?	1
	Can Apple's cinematic mode video camera be accessed via the AVfoundations api?	Is it possible to use the AVFoundation API to access Apple's cinematic mode video camera?	1
	Telephone hyperlink is not clickable in Gmail app on iPhone	gmail call button freeze in iphone	1
	Is there a way to detect iPhone model using js?	Can iphone be used to detect the model of an js?	0
	It looks like Safari doesn't see css file	css not loading in safari, why?	1
	Why is Autoplay video not working on iphone	video not playing automatically in iphone	1
	Transfer file from iPhone to Android device connected in same Wifi AP	how to share files from android to iphone connected on same wifi	1
	how can I show selected image in Photos app	select a photo in photos app	0
	How do I center an image in CSS?	In CSS, how do I center an image?	1
	How to convert a string to a date in JavaScript?	In JavaScript, how do you convert a string to a date?	1
	How do I find the maximum value in an array in Python?	In Python, how do I find the largest value in an array?	1
	How do I add a border to an HTML table?		1
	How to get the current URL with JavaScript?	How do I make an HTML table border?	1
	How to create a responsive navigation bar in CSS?	How does JavaScript receive the current URL?	1
	How do I remove a specific element from an array in JavaScript?	In CSS, how do you make a responsive menu bar?	1
	How to make a div scrollable in CSS?	In JavaScript, how can I remove a specific element from an array?	1
	How to concatenate two strings in Python?	In CSS, how do you make a div scrollable?	1
	How to create a tooltip in HTML and CSS?	In Python, how do you concatenate two strings?	1
	How to check if a string contains a substring in JavaScript?	In HTML and CSS, how do you make a tooltip?	1
	How to center a div horizontally and vertically in CSS?	In JavaScript, how do you verify if a string has a substring?	1
	How to loop through an array in JavaScript?	In CSS, how do you center a div horizontally and vertically?	1
	How to change the color of a text in HTML?	In JavaScript, how do you loop around an array?	1
	How to format a date in JavaScript?	In JavaScript, how do you format a date?	1
	How to add a class to an element in JavaScript?	In JavaScript, how do you apply a class to an element?	1
	How to make a div fade in and out with jQuery?	How can I use jQuery to make a div fade in and out?	1
	How to validate an email address in JavaScript?	In JavaScript, how do you validate an email address?	1
	How to create a slideshow in HTML and CSS?	How can I make an HTML and CSS slideshow?	1
	How to sort an array in Python?	In Python, how do you sort an array?	1
	How to make a div stick to the top of the page in CSS?	In CSS, how do you make a div stick to the top of the page?	1
	How to check if a variable is undefined in JavaScript?	In JavaScript, how can you tell if a variable is undefined?	1
	How to remove a class from an element in JavaScript?	In JavaScript, how do you remove a class from an element?	1
	How to center an element horizontally in CSS?	In CSS, how do you center an element horizontally?	1
	How to add a background image to a div in CSS?	In CSS, how do you add a background picture to a div?	1
	How to reverse a string in Python?	In Python, how do you reverse a string?	1
	How to make an image clickable in HTML?	In HTML, how do you make a picture clickable?	1
	How to add a new element to an array in JavaScript?	In JavaScript, how do you add a new element to an array?	1
	How to make a div stay at the bottom of the page in CSS?	In CSS, how do you keep a div at the bottom of the page?	1
	How to check if an array contains a specific value in JavaScript?	In JavaScript, how do you check if an array has a given value?	1
	How to create a form in HTML?	How do I make an HTML form?	1
